title,genre,director,country,year
,,Константин Бронзит,Россия,2004
,,Лев Атаманов,СССР,1952
,,Юрий Елисеев,СССР,1974
,,Лев Шукалюков,СССР,1974
,,Тэд Стоунс,США   Австралия   Япония,1996
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Дэйв Флейшер",США,1939
,,Масакадзу Хигути Тинами Намба,США   Япония,1992
,,Джон Маскер Рон Клементс,США,1992
,"психологическая драма ,  исторический",Сатоси Кон,,
,,Амен Хайдаров,СССР,1968
,"боевик ,  постапокалиптика ,  киберпанк",Кацухиро Отомо,"Япония ,    США",
,,Франгиз Курбанова,СССР,1983
,"приключения ,  фантастика ,  меха ,  драма , романтика","Сёдзи Кавамори 
 Сёдзи Кавамори 
 Сёдзи Кавамори 
 Сёдзи Кавамори 
Кэндзи Итосо",,
,,Аида Зябликова,СССР,1980
,,Владимир Попов,СССР,1986
,,Рихард Клаус Хосе Селада,Перу   Нидерланды   Германия,2021
,,Наталия Червинская,СССР,1973
,,"Николас Столлер 
 Даг Свитленд",США,2016
,,Ирина Гурвич,СССР,1964
,,Иван Аксенчук,СССР,1956
,,Мишель Осело  (Michel Ocelot),Франция       Испания       Бельгия       Италия,2006
,"комедия , школа,  повседневность","Хироси Нисикиори 
 Хироси Нисикиори 
 Фумиаки Асано",,
,,Минкью Ли,США,2013
,,Гарри Бардин,Россия   Франция   Испания,2000
,"фэнтези ,  драма",Ли Хаолин,,
,научная фантастика,Фумихико Сори,,
,,Анатолий Резников,СССР,1987
,,Эльберт Туганов,СССР,1972
,,Роман Качанов,СССР,1973
,,Кристиан Димар Франк Экинджи,Франция   Бельгия   Канада,2015
,,"Владимир Данилевич ,   Иван Иванов-Вано",СССР,1972
,,"Янис Цимерманис, Даце Ридузе",Латвия,1991
,,Анатолий Аляшев,СССР,1974
,,Карен Дишер Гай Мур,США,2000
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Карен Дишер",США,2002
,,Ц. Оршанский,СССР,1972
,,Лидия Сурикова,СССР,1984
